acX,acY,acZ,gyX,gyY,gyZ,time,Akselerasi
3.03,3.95,0.22,488.01,497.24,500.59,12:22:20,4.983151613
2.36,3.74,0.46,466.22,467.48,5.16,12:22:20,4.446211871
3.15,3.87,0.24,397.11,6.62,25.49,12:22:21,4.995698149
3.25,0.31,0.33,403.1,18.79,21.87,12:22:21,3.281386902
3.42,0.06,0.48,121.06,444.84,467.87,12:22:22,3.454041112
3.45,3.74,0.81,490.58,478.06,497.5,12:22:22,5.152300457
3.69,3.83,0.96,496.44,-0.1,498.58,12:22:23,5.404313092
3.7,3.79,1.05,9.47,20.29,3.66,12:22:23,5.399685176
3.52,3.93,0.76,488.1,44.08,12.94,12:22:24,5.330375221
3.07,3.96,0.51,466.78,61.02,18.9,12:22:24,5.036526581
3.02,3.82,0.18,489.83,-0.77,6.19,12:22:25,4.872904678
3.12,0.14,0.12,448.94,-0.96,22.29,12:22:25,3.125443968
3.04,3.93,0.36,428.15,-0.16,22.46,12:22:26,4.981576056
3.19,0.19,0.28,447.25,488.62,16.39,12:22:26,3.207896507
3.38,0.03,0.51,499.08,488.8,8.9,12:22:27,3.418391435
3.31,0.03,0.86,466.03,15.69,42.95,12:22:27,3.42002924
3.2,3.77,0.09,1.02,86.42,469.27,12:22:28,4.945806304
3.05,3.95,0.04,0.73,4.75,18.04,12:22:28,4.99065126
3.05,3.98,0.13,492.55,488.42,492.9,12:22:29,5.015954545
3.21,0.08,0.48,489.92,29.18,6.64,12:22:29,3.246675222
3,0,0.1,499.04,19.23,499.16,12:22:30,3.001666204
2.99,0.01,0.04,499.19,498.08,1.06,12:22:30,2.990284267
3.02,0.02,0.07,498.42,-0.25,500.71,12:22:31,3.020877356
3,0.02,0.07,497.72,494.76,1.39,12:22:32,3.000883203
3,4,0.11,497.08,0.7,498.97,12:22:32,5.001209854
3,3.99,0.09,498.18,2.06,1.27,12:22:33,4.992814837
3,3.99,0.1,498.32,1.15,500.55,12:22:33,4.993005107
3,4,0.11,496.73,-0.08,1.34,12:22:34,5.001209854
3.02,3.97,0.1,497.82,4.31,1.29,12:22:34,4.989118159
3.01,0.04,0.08,498.08,1.65,1.71,12:22:35,3.01132861
3,3.98,0.06,497.58,-0.7,500.79,12:22:35,4.984375588
3.01,3.98,0.05,492.86,10.76,1.15,12:22:36,4.990290573
2.98,3.97,0.07,494.4,7.65,496.94,12:22:36,4.964493932
3,4,0.06,499.28,-0.18,500.08,12:22:37,5.000359987
2.99,3.99,0.07,497.89,497.88,500.97,12:22:37,4.986491753
3.01,4,0.07,498.8,-0.12,1.05,12:22:38,5.00649578
3.01,3.99,0.05,498.93,-0.15,1.48,12:22:38,4.998269701
3,3.99,0.06,498.2,-0.32,0.88,12:22:39,4.992364169
3,3.99,0.05,498.22,0.38,501.05,12:22:39,4.992254
3,3.99,0.06,498.15,0.38,501,12:22:40,4.992364169
3,4,0.06,498.01,0.7,500.9,12:22:40,5.000359987
3.01,3.99,0.07,498.25,0.44,500.97,12:22:41,4.998509778
3,3.99,0.06,498.22,0.53,0.9,12:22:41,4.992364169
3.01,4,0.05,498.16,1.1,500.84,12:22:42,5.006256086
3,3.99,0.07,498.27,0.56,0.84,12:22:42,4.992494367
3,3.99,0.06,497.74,0.56,500.64,12:22:43,4.992364169
3,3.99,0.08,498.19,0.89,500.81,12:22:43,4.99264459
3.01,3.99,0.06,498.45,-0.12,500.91,12:22:44,4.998379737
3.01,3.99,0.06,497.99,0.66,500.55,12:22:44,4.998379737
3.01,0,0.07,498.11,0.34,0.86,12:22:45,3.010813843
3.04,3.95,0.23,488.05,497.33,506.91,12:22:45,4.989689369
2.36,3.75,0.53,466.25,467.55,7.96,12:22:46,4.462398458
3.15,3.88,0.28,397.2,6.64,32.52,12:22:46,5.005526945
3.25,0.32,0.35,403.18,18.82,26.11,12:22:47,3.284417757
3.43,0.06,0.57,121.11,444.89,471.91,12:22:47,3.477556613
3.46,3.75,0.91,490.59,478.09,505.41,12:22:48,5.18287565
3.69,3.84,1,496.5,-0.03,501.92,12:22:48,5.418643742
3.71,3.79,1.11,9.49,20.3,8.44,12:22:49,5.418514557
3.53,3.94,0.8,488.19,44.17,18.38,12:22:49,5.350186913
3.08,3.97,0.58,466.84,61.06,20.45,12:22:50,5.058033215
3.03,3.82,0.22,489.91,-0.76,11.87,12:22:50,4.880747894
3.13,0.15,0.21,448.95,-0.9,28.85,12:22:51,3.140620958
3.05,3.93,0.45,428.19,-0.07,24.34,12:22:51,4.994987487
3.2,0.2,0.36,447.3,488.68,21.85,12:22:52,3.226391173
3.38,0.03,0.55,499.17,488.89,18.13,12:22:52,3.424587566
3.31,0.04,0.94,466.07,15.72,45.35,12:22:53,3.441119004
3.2,3.78,0.14,1.06,86.48,479,12:22:53,4.954593828
3.05,3.95,0.06,0.82,4.83,24.13,12:22:54,4.990851631
3.06,3.98,0.23,492.57,488.48,497.93,12:22:54,5.025624339
3.21,0.09,0.53,489.95,29.26,9.29,12:22:55,3.254704288
3,0.01,0.15,499.12,19.25,502.32,12:22:55,3.003764305
3,0.01,0.08,499.24,498.15,8.02,12:22:56,3.001083138
3.03,0.03,0.12,498.52,-0.18,510.11,12:22:56,3.032523701
3.01,0.02,0.11,497.75,494.84,5.56,12:22:57,3.012075696
3.01,4.01,0.2,497.15,0.75,502.07,12:22:57,5.017987644
3,4,0.15,498.26,2.12,8.46,12:22:58,5.002249494
3,3.99,0.19,498.35,1.16,506.52,12:22:58,4.99561808
3.01,4,0.21,496.79,0.02,5.6,12:22:59,5.010409165
3.02,3.98,0.19,497.85,4.35,8.91,12:22:59,4.99968999
3.01,0.04,0.13,498.1,1.68,6.03,12:23:00,3.013071523
3,3.99,0.1,497.6,-0.68,508.65,12:23:00,4.993005107
3.01,3.98,0.14,492.89,10.84,2.17,12:23:01,4.992003606
2.98,3.98,0.1,494.45,7.69,499.46,12:23:01,4.973007139
3.01,4.01,0.08,499.37,-0.08,505.75,12:23:02,5.014638571
3,4,0.17,497.97,497.94,508.87,12:23:02,5.002889165
3.02,4.01,0.1,498.81,-0.07,9.12,12:23:03,5.021005875
3.01,4,0.14,498.99,-0.12,5.84,12:23:03,5.007963658
3,4,0.09,498.27,-0.29,3.95,12:23:04,5.000809934
3,4,0.13,498.24,0.47,509.75,12:23:04,5.001689714
3,3.99,0.08,498.23,0.47,503.96,12:23:05,4.99264459
3.01,4.01,0.1,498.03,0.79,504.44,12:23:05,5.014997507
3.02,4,0.13,498.28,0.52,510.85,12:23:06,5.0137112
3,4,0.13,498.28,0.6,7.37,12:23:06,5.001689714
3.01,4.01,0.1,498.21,1.17,507.86,12:23:07,5.014997507
3.01,4,0.1,498.35,0.64,5.38,12:23:07,5.007005093
3,3.99,0.16,497.77,0.61,502.54,12:23:08,4.994567048
3.01,4,0.17,498.21,0.93,504.61,12:23:08,5.008892093
3.02,3.99,0.14,498.53,-0.02,505.34,12:23:09,5.006006392
3.01,4,0.13,498.03,0.73,507.51,12:23:09,5.00769408
3.01,0.01,0.17,498.16,0.36,10.19,12:23:10,3.014813427
