acX,acY,acZ,gyX,gyY,gyZ,time,Akselerasi
2.79,0.06,3.78,53.5,22.7,493.45,11:06:29,4.698521044
3.01,0.02,3.48,420.39,0.32,476.53,11:06:29,4.60118463
3.05,3.88,3.5,441.03,483.15,470.41,11:06:30,6.050363625
3.06,3.86,3.67,436.64,7.49,483.48,11:06:30,6.14264601
3.18,0.11,3.31,21.57,497.98,478.29,11:06:31,4.591361454
3.14,3.85,3.52,491.41,487.6,493.48,11:06:31,6.088719077
3.22,3.84,3.39,487.9,37.76,490.28,11:06:32,6.050297513
3.31,3.81,3.24,486.32,1.17,497.67,11:06:32,5.997482805
3.35,3.75,3.32,27.11,466.82,10.97,11:06:33,6.025562214
2.95,3.64,0.15,9.32,432.21,499.89,11:06:33,4.687707329
3.08,3.92,0.32,20.9,473.11,4.78,11:06:34,4.995517991
3.09,3.97,0.41,0.62,497.43,500.05,11:06:34,5.047484522
3.12,3.94,0.44,498.38,2.83,1.52,11:06:35,5.044957879
3.11,3.96,0.42,497.81,2.16,500.71,11:06:35,5.052731934
3.11,3.95,0.42,498.28,496.27,500.59,11:06:36,5.044898413
3.12,3.94,0.44,498.01,-1.07,0.93,11:06:36,5.044957879
3.12,3.95,0.45,498.25,0.18,0.8,11:06:37,5.053652145
3.13,3.95,0.45,497.93,0.22,0.82,11:06:37,5.059832013
3.13,3.94,0.46,498.04,0.21,501,11:06:38,5.052929843
3.14,3.94,0.46,497.98,1.11,0.88,11:06:38,5.05913036
3.13,3.96,0.45,498.34,-0.19,500.54,11:06:39,5.06764245
3.04,3.9,0.28,454.8,36.18,2.87,11:06:39,4.952776999
3.1,3.72,3.71,471.45,138.14,495.48,11:06:40,6.100204915
3.38,3.77,3.15,479.93,475.95,30.58,11:06:40,5.963203837
3.18,3.83,3.49,498.77,465.51,9.45,11:06:41,6.079588802
3.05,0.05,3.69,490.88,3.14,4.4,11:06:41,4.787598563
3,3.9,3.83,26.52,486.66,4.39,11:06:42,6.2352947
3,3.98,3.84,498.06,0.6,499.32,11:06:42,6.291740618
3,3.96,3.85,491.78,-1.17,500.42,11:06:43,6.285228715
3.01,3.96,3.84,494.88,1.66,0.94,11:06:44,6.283892106
3.01,3.97,3.83,498.38,1.34,1.08,11:06:44,6.284098981
3,3.97,3.84,497.59,1.06,0.9,11:06:45,6.285419636
3.01,3.98,3.81,496.64,0.67,1.69,11:06:45,6.278264091
3.02,3.97,3.82,498.17,1,500.13,11:06:46,6.282809881
3.01,3.98,3.81,496.86,0.89,500.87,11:06:46,6.278264091
3.01,3.98,3.81,497.26,0.45,500.9,11:06:47,6.278264091
3,3.98,3.81,497.79,-0.02,500.84,11:06:47,6.273475911
3,3.99,3.82,496.35,0.27,1.67,11:06:48,6.285896913
3,3.98,3.8,492.85,0.1,500.31,11:06:48,6.267407758
3.03,0.01,3.81,494.76,497.27,2.73,11:06:49,4.867966721
3.01,0.01,3.8,495.62,1.55,499.95,11:06:49,4.847700486
3.01,0.03,3.83,1.02,496.15,1.04,11:06:50,4.871334519
3.01,3.97,3.91,500.71,10.31,495.65,11:06:50,6.333174559
3,3.95,3.83,18.03,5.93,3.1,11:06:51,6.266689716
3.03,3.95,3.76,6.51,4.8,499.91,11:06:51,6.23866973
3.06,3.87,3.81,1.91,495.95,1.13,11:06:52,6.233506236
3.06,3.95,3.78,2.63,498.12,500.9,11:06:52,6.265341172
2.98,3.72,3.83,16.31,16.8,493.9,11:06:53,6.114548225
3.11,3.97,3.65,3.6,492.5,7.59,11:06:53,6.225391554
3.03,3.84,3.72,5.11,492.66,4.45,11:06:54,6.145315289
2.99,3.91,3.79,492.2,-1.88,0.96,11:06:54,6.212270116
2.97,3.95,3.82,1.85,496.11,2.16,11:06:55,6.246262883
3.01,3.9,3.93,492.77,1.48,499.89,11:06:55,6.301983815
3.03,3.9,3.98,6.94,1.98,0.91,11:06:56,6.342814833
2.79,0.06,3.78,496.98,22.7,493.45,11:06:56,4.698521044
3.01,0.02,3.48,443.25,0.32,476.53,11:06:57,4.60118463
3.05,3.88,3.5,461.53,483.15,470.41,11:06:57,6.050363625
3.06,3.86,3.67,434.26,7.49,483.48,11:06:58,6.14264601
3.18,0.11,3.31,430.39,497.98,478.29,11:06:58,4.591361454
3.14,3.85,3.52,457.57,487.6,493.48,11:06:59,6.088719077
3.22,3.84,3.39,449.58,37.76,490.28,11:06:59,6.050297513
3.31,3.81,3.24,488.28,1.17,497.67,11:07:00,5.997482805
3.35,3.75,3.32,433.25,466.82,10.97,11:07:00,6.025562214
2.95,3.64,0.15,449.61,432.21,499.89,11:07:01,4.687707329
3.08,3.92,0.32,445.3,473.11,4.78,11:07:01,4.995517991
3.09,3.97,0.41,487.56,497.43,500.05,11:07:02,5.047484522
3.12,3.94,0.44,458.01,2.83,1.52,11:07:02,5.044957879
3.11,3.96,0.42,500.24,2.16,500.71,11:07:03,5.052731934
3.11,3.95,0.42,445.35,496.27,500.59,11:07:03,5.044898413
3.12,3.94,0.44,486.37,-1.07,0.93,11:07:04,5.044957879
3.12,3.95,0.45,483.11,0.18,0.8,11:07:04,5.053652145
3.13,3.95,0.45,468.93,0.22,0.82,11:07:05,5.059832013
3.13,3.94,0.46,484.59,0.21,501,11:07:05,5.052929843
3.14,3.94,0.46,430.11,1.11,0.88,11:07:06,5.05913036
3.13,3.96,0.45,486.61,-0.19,500.54,11:07:06,5.06764245
3.04,3.9,0.28,499.44,36.18,2.87,11:07:07,4.952776999
3.1,3.72,3.71,423.34,138.14,495.48,11:07:07,6.100204915
3.38,3.77,3.15,455.66,475.95,30.58,11:07:08,5.963203837
3.18,3.83,3.49,482.83,465.51,9.45,11:07:08,6.079588802
3.05,0.05,3.69,459.11,3.14,4.4,11:07:09,4.787598563
3,3.9,3.83,479.28,486.66,4.39,11:07:09,6.2352947
3,3.98,3.84,464.35,0.6,499.32,11:07:10,6.291740618
3,3.96,3.85,483.31,-1.17,500.42,11:07:10,6.285228715
3.01,3.96,3.84,494.17,1.66,0.94,11:07:11,6.283892106
3.01,3.97,3.83,425.19,1.34,1.08,11:07:11,6.284098981
3,3.97,3.84,451.97,1.06,0.9,11:07:12,6.285419636
3.01,3.98,3.81,422.77,0.67,1.69,11:07:12,6.278264091
3.02,3.97,3.82,476.34,1,500.13,11:07:13,6.282809881
3.01,3.98,3.81,448.74,0.89,500.87,11:07:13,6.278264091
3.01,3.98,3.81,473.69,0.45,500.9,11:07:14,6.278264091
3,3.98,3.81,464.72,-0.02,500.84,11:07:14,6.273475911
3,3.99,3.82,493.64,0.27,1.67,11:07:15,6.285896913
3,3.98,3.8,462.35,0.1,500.31,11:07:15,6.267407758
3.03,0.01,3.81,475.44,497.27,2.73,11:07:16,4.867966721
3.01,0.01,3.8,498.45,1.55,499.95,11:07:16,4.847700486
3.01,0.03,3.83,432.07,496.15,1.04,11:07:17,4.871334519
3.01,3.97,3.91,434.94,10.31,495.65,11:07:17,6.333174559
3,3.95,3.83,451.79,5.93,3.1,11:07:18,6.266689716
3.03,3.95,3.76,486.23,4.8,499.91,11:07:18,6.23866973
3.06,3.87,3.81,481.89,495.95,1.13,11:07:19,6.233506236
3.06,3.95,3.78,453.73,498.12,500.9,11:07:19,6.265341172
2.98,3.72,3.83,481.14,16.8,493.9,11:07:20,6.114548225
3.11,3.97,3.65,422.16,492.5,7.59,11:07:20,6.225391554
3.03,3.84,3.72,434.28,492.66,4.45,11:07:21,6.145315289
2.99,3.91,3.79,448.47,-1.88,0.96,11:07:21,6.212270116
2.97,3.95,3.82,481.95,496.11,2.16,11:07:22,6.246262883
3.01,3.9,3.93,464.46,1.48,499.89,11:07:22,6.301983815
3.03,3.9,3.98,467.94,1.98,0.91,11:07:23,6.342814833
