acX,acY,acZ,gyX,gyY,gyZ,time,Akselerasi
3.04,0.03,3.66,498.31,1.18,500.65,12:17:26,4.75795124
3.04,0.03,3.65,497.93,2.15,501.02,12:17:27,4.750263151
3.05,0.03,3.65,498.31,-0.07,500.72,12:17:27,4.756669003
3.05,0.03,3.65,498.41,0.11,500.74,12:17:28,4.756669003
3.03,0.03,3.67,497.57,1.01,0.9,12:17:28,4.759275155
3.12,0.09,3.51,484.66,15.29,9.94,12:17:29,4.697084202
3.09,0.12,3.68,3.07,462.39,501,12:17:29,4.806755663
3.15,0.23,0.51,3.51,387.98,7.32,12:17:30,3.199296798
3.24,0.15,0.77,3.36,4.62,484.74,12:17:30,3.333616655
3.14,0.04,0.51,495.25,37.71,9.85,12:17:31,3.181399063
3.11,0.1,0.06,490.77,26.81,7.81,12:17:31,3.112185727
3.02,0.06,3.99,495.06,0.62,498.66,12:17:32,5.004408057
3.02,0.06,0.04,492.12,5.34,500.11,12:17:32,3.020860804
2.98,0.05,3.92,496.85,1.23,1.46,12:17:33,4.924357826
3.05,0.04,3.7,498.32,1.26,502.3,12:17:33,4.795216366
3.05,0.09,3.74,497.95,2.17,503.92,12:17:34,4.8268209
3.06,0.12,3.73,498.35,-0.03,504.79,12:17:34,4.826064649
3.06,0.07,3.75,498.47,0.16,504.03,12:17:35,4.840557819
3.04,0.09,3.77,497.63,1.03,6.49,12:17:35,4.843820806
3.12,0.13,3.6,484.71,15.32,14.14,12:17:36,4.765637418
3.1,0.15,3.73,3.14,462.42,508.44,12:17:36,4.85236025
3.16,0.25,0.53,3.53,388,15.7,12:17:37,3.213876164
3.24,0.2,0.79,3.39,4.69,489.25,12:17:37,3.340913049
3.14,0.08,0.59,495.27,37.75,19.04,12:17:38,3.195950563
3.12,0.2,0.15,490.79,26.84,13.26,12:17:38,3.13
3.03,0.12,4.09,495.11,0.71,504.54,12:17:39,5.091502725
3.03,0.08,0.11,492.22,5.41,508.52,12:17:39,3.033051269
2.99,0.08,4.01,496.9,1.28,3.14,12:17:40,5.002659293
