acX,acY,acZ,gyX,gyY,gyZ,time,Akselerasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.71,0.45,3.37,5.47,-0.88,490.47,12:45:10,3.473254958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.63,0.42,3.26,9.34,10.08,496.63,12:45:11,3.346774567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8,0.59,3.37,484.08,491.18,9.62,12:45:11,3.513545218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7,0.42,3.37,494.74,495.7,4.29,12:45:12,3.46746305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.56,0.43,3.18,473.16,0.39,13.49,12:45:12,3.257437643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.75,0.42,3.36,490.38,2.14,7.52,12:45:13,3.468212796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.68,0.41,3.31,493.74,-0.36,499.89,12:45:14,3.403909517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.64,0.44,3.3,6.23,495.22,493.84,12:45:14,3.390162238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.69,0.47,3.34,3.22,9.22,4.75,12:45:15,3.44276052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.68,0.43,3.34,492.54,11.68,12.54,12:45:15,3.435534893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.66,0.43,3.33,491.63,495.42,500.8,12:45:16,3.421900057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.58,0.28,3.2,482.71,492.57,15.23,12:45:16,3.264169113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.71,0.43,3.32,497.43,-0.06,12.77,12:45:17,3.42219228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.69,0.41,3.31,494.38,-1.21,7.81,12:45:17,3.405921314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.65,0.42,3.33,496.67,490.39,1.97,12:45:18,3.418742459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6,0.42,3.28,8.26,-1.2,493.81,12:45:18,3.36077372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.65,0.47,3.37,12.69,2.57,495.87,12:45:19,3.464144916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7,0.43,3.34,490.47,8.44,10.65,12:45:19,3.439549389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.72,0.39,3.33,12.17,481.89,484.96,12:45:20,3.429198157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.62,0.45,3.25,488.89,1.44,17.73,12:45:20,3.339071727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.64,0.4,3.31,494.29,-1.42,497.06,12:45:21,3.394952135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.69,0.37,3.31,8.03,5.58,485.97,12:45:21,3.401337972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.55,0.5,3.3,492.6,498.16,482.15,12:45:22,3.382676455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.56,0.58,3.33,489.16,5.56,495.58,12:45:22,3.426207816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.61,0.6,3.36,14.19,15.46,26.39,12:45:23,3.467232326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.87,0.37,3.51,495.83,13.91,12.55,12:45:23,3.635092846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.86,0.37,3.57,498.29,11.2,6.83,12:45:24,3.690718087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.91,0.33,3.65,494.57,10.4,494.51,12:45:24,3.776175314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.92,0.39,3.74,497.22,2.48,500.18,12:45:25,3.871188448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
