acX,acY,acZ,gyX,gyY,gyZ,time,Akselerasi
0.87,3.96,0.47,492.32,5.58,493.14,10:29:30,4.081592826
0.85,3.96,0.45,26.26,-1.05,19.64,   10:29:31,4.07511963
0.9,0.04,0.46,38.65,495.52,16.84,10:29:31,1.011533489
0.86,0.01,0.41,494.57,492.34,2.29,10:29:32,0.95278539
0.89,3.99,0.41,486.02,3.47,495.5,10:29:32,4.108564226
0.9,3.98,0.42,497.89,4.36,500.75,10:29:33,4.102048269
0.82,3.98,0.44,496.67,0.47,499.29,10:29:33,4.087346327
0.92,3.99,0.42,43.2,10.18,496.52,10:29:34,4.116175409
0.83,3.94,0.4,492.44,480.69,1.03,10:29:34,4.046294601
0.9,3.97,0.41,483.58,2.4,3.03,10:29:35,4.091332301
0.98,0.03,0.43,495.71,495.51,493.45,10:29:35,1.070607304
0.96,0.05,0.37,485.61,-1.66,489.53,10:29:36,1.030048543
0.88,0.01,0.44,487.19,-1.61,492.05,10:29:36,0.983920729
0.86,3.92,0.45,484.51,8.82,495.13,10:29:37,4.038378387
0.9,0.03,0.42,23.64,3.89,7.84,10:29:37,0.99362971
0.9,3.99,0.44,7.64,5.99,2.26,10:29:38,4.113842486
0.86,0.02,0.49,491.28,0.29,496.19,10:29:38,0.99
0.88,0.03,0.47,497.95,496.46,2.61,10:29:39,0.998098192
0.9,0.01,0.43,498.98,495.75,6.09,10:29:39,0.997496867
0.92,0.01,0.4,4.79,496.76,3.64,10:29:04,1.003244736
0.89,0.08,0.41,491.36,4.73,495,10:29:40,0.983158176
0.9,0.03,0.42,5.79,497.22,3.38,10:29:41,0.99362971
0.88,3.96,0.46,447.46,15.47,480.73,10:29:41,4.082597213
1.03,0.04,0.57,460.03,6.56,469.76,10:29:42,1.177879451
0.99,3.99,0.32,10.84,7.45,21.15,10:29:42,4.12342091
0.92,3.9,0.51,473.57,14.1,495.77,10:29:43,4.039368763
0.76,0.24,0.6,460.2,436.31,478.3,10:29:44,0.997597113
1.05,0.09,0.58,484.12,469.37,473.97,10:29:44,1.202913131
0.92,3.98,0.45,499.55,0.11,500.23,10:29:45,4.109659353
0.89,0.06,0.3,483.14,14.71,496.72,10:29:45,0.941116358
0.77,3.93,0.44,499.11,25.65,8.07,10:29:46,4.028821168
0.82,0.16,0.37,499.67,468.46,490.56,10:29:46,0.913728625
0.61,3.91,0.46,469.18,471.9,494.22,10:29:47,3.983942771
1.01,3.86,0.76,8.05,0.12,10.19,10:29:47,4.061686842
1.04,0.21,0.33,495.77,1.66,499.48,10:29:48,1.111125555
0.92,3.93,0.38,4.39,491.05,1.03,10:29:48,4.054096693
0.82,0.13,0.29,38.01,4.45,16.01,10:29:49,0.879431635
0.86,0.02,0.39,48.22,38.03,10.65,10:29:49,0.944510455
1.08,0.17,0.34,15.09,457.85,13.85,10:29:50,1.144945414
0.71,0.16,0.44,40.9,487.53,30.47,10:29:50,0.850470458
1.31,3.99,0.46,497.09,0.71,499.47,10:29:51,4.224665667
1.08,3.99,0.47,43.27,10.32,496.66,10:29:51,4.160216341
1.06,3.95,0.49,492.9,480.71,1.03,10:29:52,4.119004734
1.22,3.98,0.45,483.79,2.81,3.47,10:29:52,4.187039527
1.25,0.04,0.47,495.9,495.74,493.47,10:29:53,1.336038922
0.99,0.06,0.43,486.1,-1.48,489.64,10:29:53,1.081018039
1.22,0.02,0.47,487.36,-1.39,492.1,10:29:54,1.30755497
0.87,3.93,0.49,484.75,9.12,495.55,10:29:54,4.05486128
1.1,0.03,0.5,23.86,4.22,8.08,10:29:55,1.208676963
1.28,3.99,0.53,7.92,6.43,2.44,10:29:55,4.223671389
0.92,0.02,0.5,491.33,0.44,496.22,10:29:55,1.047282197
0.93,0.03,0.56,498.01,496.67,2.66,10:29:55,1.086001842
1.02,0.02,0.45,498.98,495.75,6.36,10:29:56,1.115033632
1.08,0.02,0.49,5.11,497.24,4.06,10:29:56,1.186128155
1.36,0.09,0.49,491.47,5.13,495.44,10:29:57,1.448378404
0.96,0.04,0.51,6.21,497.57,3.67,10:29:57,1.087795937
0.98,3.97,0.51,447.72,15.94,481.01,10:29:58,4.120849427
1.11,0.04,0.63,460.07,6.9,469.8,10:29:58,1.27694949
