acX,acY,acZ,gyX,gyY,gyZ,time,Akselerasi
0.92,0.37,3.79,499.2,497.6,497.85,12:45:43,3.917575781
0.92,0.38,3.77,497.78,1.56,1.58,12:45:44,3.899192224
0.92,0.38,3.78,497.64,2.54,500.92,12:45:44,3.908861727
0.93,0.38,3.8,498.15,0.91,1.28,12:45:45,3.930559757
0.93,0.37,3.79,498.53,-0.16,500.42,12:45:45,3.919936224
0.92,0.39,3.78,497.79,-0.15,500.39,12:45:46,3.909846544
0.91,0.39,3.77,498.29,0.73,500.52,12:45:46,3.897832731
0.92,0.39,3.78,498,0.69,500.26,12:45:47,3.909846544
0.92,0.39,3.79,496.9,2.03,500.16,12:45:47,3.919515276
0.92,0.41,3.81,496.87,0.21,0.93,12:45:48,3.940888225
0.92,0.4,3.8,497.78,0.89,0.85,12:45:48,3.930190835
0.92,0.41,3.82,494.46,1.02,497.2,12:45:49,3.950556923
0.9,0.44,3.85,497.05,2.23,500.13,12:45:49,3.978203112
0.9,0.45,3.88,4.93,497.53,495.94,12:45:50,4.008353777
0.86,0.47,3.74,13.03,479.07,485.75,12:45:50,3.866277279
0.75,0.49,3.52,7.58,492.15,496.34,12:45:51,3.632216954
0.64,0.58,3.35,5.35,479.5,482.7,12:45:51,3.459551994
0.47,0.5,3.32,2.32,496.66,500.1,12:45:52,3.390176987
0.41,0.54,3.15,6.92,497.81,487.35,12:45:52,3.222142145
0.46,0.53,3.37,480.18,25.34,27.7,12:45:53,3.442295746
0.61,0.54,3.37,490.69,4.1,19.03,12:45:53,3.467073694
0.69,0.56,3.38,493.95,0.07,4.86,12:45:54,3.494867666
0.62,0.56,3.36,495.35,-0.95,6.76,12:45:54,3.462311367
0.65,0.5,3.35,492.66,2.89,11,12:45:55,3.448912872
0.64,0.49,3.33,6.1,2.69,492.64,12:45:55,3.426164036
0.63,0.5,3.34,491.47,496.01,1.1,12:45:56,3.435476677
0.66,0.54,3.4,3.8,18.49,499.08,12:45:56,3.505310257
0.69,0.56,3.4,0.87,497.41,495.06,12:45:57,3.514213995
0.61,0.48,3.41,4.84,3.15,497.03,12:45:57,3.497227473
0.66,0.52,3.39,498.88,6.31,494.06,12:45:58,3.492577845
0.66,0.54,3.43,2.9,11.36,497.05,12:45:59,3.534416501
0.66,0.61,3.45,9.17,5.66,488.62,12:45:59,3.565136744
0.61,0.48,3.38,10.5,15.18,496.64,12:46:00,3.467982122
0.64,0.53,3.35,500.13,498.1,495.33,12:46:00,3.451521404
0.66,0.56,3.36,4.58,11.36,491.72,12:46:01,3.469697393
0.7,0.52,3.44,20.59,22.63,490.1,12:46:01,3.548802615
0.66,0.53,3.36,1.93,491.99,498.03,12:46:02,3.464981962
0.64,0.46,3.38,494.16,496.56,7.9,12:46:02,3.470677167
0.65,0.52,3.37,498.16,-1.1,496.94,12:46:03,3.471282184
0.66,0.59,3.4,491.63,5.69,499.97,12:46:03,3.513360215
0.76,0.52,3.46,9.03,9.31,496.67,12:46:04,3.580446899
0.61,0.53,3.38,494.63,489.98,2.29,12:46:04,3.475255386
0.61,0.54,3.34,2.58,3.99,4.64,12:46:05,3.437920883
0.64,0.53,3.36,494.69,-1.52,499.97,12:46:05,3.461228106
0.65,0.55,3.39,498.74,7.59,498.94,12:46:06,3.49529684
0.69,0.51,3.47,6.93,13.52,495.07,12:46:06,3.574506959
0.66,0.55,3.39,495.93,488.17,3.77,12:46:07,3.497170285
0.58,0.49,3.35,499.05,9.13,5.7,12:46:07,3.434967249
0.61,0.55,3.35,495.39,1.47,499.89,12:46:08,3.449217303
0.59,0.55,3.38,497.06,5.05,500.73,12:46:08,3.474910071
0.65,0.56,3.44,489.87,10.88,12.1,12:46:09,3.545377272
0.69,0.56,3.44,9.44,494,492.17,12:46:09,3.55292837
0.67,0.49,3.33,498.26,495.87,1.55,12:46:10,3.431894521
0.62,0.52,3.35,496.3,492.27,500.25,12:46:10,3.446345891
0.62,0.54,3.34,495.48,3.15,500.65,12:46:11,3.43970929
0.68,0.54,3.42,495.28,11.6,5.19,12:46:11,3.528512434
0.69,0.54,3.41,4.22,492.25,492.19,12:46:12,3.520766962
0.61,0.48,3.32,5.11,0.58,493.38,12:46:12,3.40953076
0.61,0.56,3.34,493.72,-1.61,2.77,12:46:13,3.441119004
0.61,0.53,3.33,493.93,495.27,500.37,12:46:13,3.42664559
0.63,0.55,3.39,487.17,10.33,13.05,12:46:14,3.491632856
0.67,0.59,3.45,500.16,-1.56,497.57,12:46:14,3.563635784
0.61,0.54,3.35,1.71,1.39,496.54,12:46:15,3.447636872
0.63,0.56,3.35,498.64,5.46,2.55,12:46:15,3.454417462
0.69,0.52,3.41,492.68,0.93,9.37,12:46:16,3.517754966
0.69,0.5,3.4,496.46,0.63,2.91,12:46:16,3.505153349
0.71,0.5,3.42,496.84,0.92,3.9,12:46:17,3.528526605
0.72,0.48,3.43,495.3,492.64,499.11,12:46:18,3.537470848
0.68,0.52,3.39,487.61,487.4,3.99,12:46:18,3.496412447
0.53,0.54,3.23,491.16,480.9,494.65,12:46:19,3.317438771
0.59,0.58,3.4,480.58,487.56,19.57,12:46:19,3.499214198
0.65,0.54,3.39,482,487.37,14.89,12:46:20,3.493737254
0.61,0.56,3.36,485.47,486.3,16.15,12:46:20,3.460534641
0.62,0.56,3.34,484.06,491.06,19.15,12:46:21,3.44290575
0.65,0.55,3.4,476.71,485.13,22.55,12:46:21,3.504996434
0.66,0.52,3.38,484.95,487.69,9.23,12:46:22,3.482872378
0.62,0.54,3.36,493.81,488.9,10.63,12:46:22,3.459132839
0.63,0.49,3.22,483.29,493.72,23.75,12:46:23,3.317438771
0.62,0.54,3.33,473.29,487.36,20.84,12:46:23,3.43
0.65,0.54,3.4,468.75,483.39,25.23,12:46:24,3.503441165
0.68,0.53,3.41,493.18,489.31,2.42,12:46:24,3.517300101
0.57,0.49,3.34,493.57,488.05,5.14,12:46:25,3.423536184
0.6,0.54,3.36,498.82,6.6,500.16,12:46:25,3.455604144
0.66,0.54,3.37,483.05,497.45,7.97,12:46:26,3.476219211
0.73,0.52,3.47,5.8,7.93,496.5,12:46:26,3.583880578
