acX,acY,acZ,gyX,gyY,gyZ,,Akselerasi
0.9,0,0.42,496.65,0.69,500.8,10:32:41,0.993176721
0.89,0,0.42,498.01,0.13,500.67,10:32:41,0.984123976
0.89,0,0.43,497.3,1.53,500.11,10:32:42,0.988433103
0.9,0,0.42,499.72,0.72,1.35,10:32:42,0.993176721
0.89,0.01,0.43,497.35,0.15,500.73,10:32:43,0.988483687
0.9,0,0.43,498.14,-0.05,1.15,10:32:43,0.99744674
0.9,0,0.42,498.41,0.77,500.34,10:32:44,0.993176721
0.89,0.01,0.43,499.23,0.53,500.96,10:32:44,0.988483687
0.89,0.01,0.44,496.99,0.36,500.66,10:32:45,0.992874614
0.89,0.01,0.43,499.32,0.01,1.86,10:32:45,0.988483687
0.9,0.01,0.42,497.69,-0.37,500.85,10:32:46,0.993227064
0.9,0,0.42,498.74,1.69,500.89,10:32:46,0.993176721
1.04,3.85,0.72,6.78,14.92,1.08,10:32:53,4.052468384
1,0.25,0.34,1.93,481.63,12.25,10:32:54,1.085403151
1,3.96,0.45,6.03,11.5,493.46,10:32:54,4.109026649
1.03,0.07,0.19,485.75,13.73,1.08,10:32:55,1.049714247
0.98,3.91,0.36,9.06,5.66,497.79,10:32:56,4.046986533
0.74,0.04,0.41,475.12,11.04,483.87,10:32:56,0.846935653
0.72,3.95,0.46,7.38,36.65,1.5,10:32:57,4.041348785
0.67,4,0.43,484.67,465.15,484.33,10:32:57,4.07845559
0.71,3.99,0.49,441.44,486.1,477.83,10:32:58,4.082193038
0.54,0.05,0.49,384.61,1.6,427.17,10:32:58,0.730889869
0.86,0.14,0.43,405.29,466.12,441.77,10:32:59,0.971648084
0.84,0.19,0.41,7.06,454.15,448.21,10:32:59,0.953834367
0.73,0.38,0.73,490.52,473.95,6.02,10:33:00,1.100090905
0.95,0.19,0.28,500.33,461.37,28.26,10:33:00,1.008464179
1.01,3.99,0.02,489.12,482.25,10.84,10:33:01,4.115896014
0.98,3.99,3.76,466.74,26.54,492.02,10:33:01,5.569389554
1.01,3.94,3.98,498.5,1.88,499.51,10:33:02,5.690702944
1.01,3.99,0.01,500.21,3.18,1.06,10:33:02,4.11585957
1.02,0,3.99,498.74,-1.44,498.68,10:33:03,4.118312761
1.01,0.01,3.99,499,2.27,500.86,10:33:03,4.11585957
1.01,4,4,497.99,-0.53,1.77,10:33:04,5.746311861
1.01,3.99,3.99,498,-0.19,1.91,10:33:04,5.732390426
1,3.99,3.97,498.09,0.43,0.87,10:33:05,5.716729834
1.01,3.98,3.98,497.67,-1.89,2.38,10:33:05,5.718470075
1,3.98,3.98,497.98,3.17,499.97,10:33:06,5.716712342
1,3.97,3.99,497.8,-1,1.4,10:33:06,5.716729834
1.01,3.97,3.99,498.02,0.21,0.95,10:33:07,5.718487562
1.01,3.97,3.98,498.14,0.68,500.68,10:33:07,5.711514685
1.01,3.98,3.99,497.84,1.55,500.35,10:33:08,5.725434481
1.01,3.97,3.99,498.25,-0.94,1.17,10:33:08,5.718487562
1.01,3.97,3.98,498.16,0.15,0.84,10:33:09,5.711514685
1,3.97,3.96,499.11,3.94,497.6,10:33:09,5.695831809
0.99,0.06,0.17,6.55,46.67,468.77,10:33:10,1.006280279
0.73,0.37,0.59,0.72,-0.34,20.19,10:33:10,1.008910303
0.71,0.3,0.59,35.32,12.22,56.94,10:33:11,0.970669872
0.75,0.03,0.6,488.65,3.6,3.16,10:33:11,0.960937043
0.78,0.25,0.61,474.82,0.09,473.76,10:33:12,1.021273715
0.81,0.11,0.55,481.07,6.39,487.32,10:33:12,0.985241087
0.82,0.13,0.55,499.23,2.23,1.28,10:33:13,0.99589156
0.8,0.19,0.56,9.08,2.15,6.64,10:33:13,0.99483667
0.79,0.18,0.56,482.69,493.92,485.71,10:33:14,0.984936546
0.81,0.13,0.54,499.54,-0.4,1.64,10:33:14,0.982140519
0.82,0.12,0.53,498.14,0.7,0.98,10:33:15,0.983717439
0.82,0.11,0.53,498.67,0.76,1.13,10:33:15,0.982547709
0.82,0.12,0.53,0.7,0.92,2.3,10:33:17,0.983717439
0.87,0.09,0.53,499.15,-0.05,1.94,10:33:17,1.022692525
0.82,0.11,0.54,497.45,3.11,499.27,10:33:18,0.987977733
0.82,0.11,0.57,499.22,5.02,2.58,10:33:18,1.004689007
0.79,0.1,0.58,499.14,497.14,2.64,10:33:19,0.985139584
0.74,0.07,0.62,484.38,8.41,493.46,10:33:19,0.967935948
0.81,0.07,0.58,494,-1.4,0.96,10:33:20,0.998699154
0.8,0.06,0.57,500.78,7.5,1.11,10:33:20,0.984123976
0.83,0.06,0.55,498.54,497.58,500.76,10:33:21,0.997496867
0.81,0.07,0.55,498.36,0.6,500.88,10:33:21,0.981580358
